goos: linux
goarch: amd64
pkg: rsc.io/tmp/rsort
cpu: AMD Ryzen 9 7950X 16-Core Processor            
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortWithTmp-32         	      12	  94913551 ns/op	         2.968 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortWithTmp-32         	      14	  76871112 ns/op	         3.199 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortWithTmp-32         	      14	  76640377 ns/op	         3.199 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortWithTmp-32         	      14	  76774326 ns/op	         3.199 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortWithTmp-32         	      14	  78688106 ns/op	         3.199 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortWithTmp-32         	      14	  76435769 ns/op	         3.199 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortWithTmp-32         	      14	  78260273 ns/op	         3.199 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortWithTmp-32         	      14	  76617706 ns/op	         3.199 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortWithTmp-32         	      15	  81171354 ns/op	         3.199 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortInPlace-32         	       6	 209790974 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortInPlace-32         	       6	 193109851 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortInPlace-32         	       6	 199381857 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortInPlace-32         	       6	 196285463 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortInPlace-32         	       6	 189518476 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortInPlace-32         	       6	 205899594 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortInPlace-32         	       6	 198111725 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortInPlace-32         	       6	 189576888 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortInPlace-32         	       6	 189452478 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortInPlace-32         	       6	 197334152 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=slices.Sort-32         	       4	 280989958 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=slices.Sort-32         	       4	 290193633 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=slices.Sort-32         	       4	 283541186 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=slices.Sort-32         	       4	 273767250 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=slices.Sort-32         	       4	 284647656 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=slices.Sort-32         	       4	 284460552 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=slices.Sort-32         	       4	 290790483 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=slices.Sort-32         	       4	 286835444 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=slices.Sort-32         	       4	 284731606 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=slices.Sort-32         	       4	 281206360 ns/op	         3.199 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortWithTmp-32         	       8	 131899200 ns/op	         5.334 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortWithTmp-32         	       8	 133569424 ns/op	         5.334 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortWithTmp-32         	       8	 129090284 ns/op	         5.334 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortWithTmp-32         	       8	 127984202 ns/op	         5.334 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortWithTmp-32         	       8	 132442422 ns/op	         5.334 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortWithTmp-32         	       8	 129238913 ns/op	         5.334 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortWithTmp-32         	       8	 129980732 ns/op	         5.334 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortWithTmp-32         	       8	 129887184 ns/op	         5.334 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortWithTmp-32         	       8	 129195464 ns/op	         5.334 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortWithTmp-32         	       8	 129253566 ns/op	         5.334 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortInPlace-32         	       4	 282033862 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortInPlace-32         	       4	 280675640 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortInPlace-32         	       4	 281193460 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortInPlace-32         	       4	 282754358 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortInPlace-32         	       4	 280927929 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortInPlace-32         	       4	 301401896 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortInPlace-32         	       4	 292072622 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortInPlace-32         	       4	 289748948 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortInPlace-32         	       4	 299006522 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=sortInPlace-32         	       4	 293655748 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=slices.Sort-32         	       4	 290990879 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=slices.Sort-32         	       4	 284141292 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=slices.Sort-32         	       4	 297140672 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=slices.Sort-32         	       4	 289200583 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=slices.Sort-32         	       4	 289159300 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=slices.Sort-32         	       4	 284482684 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=slices.Sort-32         	       4	 296044182 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=slices.Sort-32         	       4	 287250734 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=slices.Sort-32         	       4	 284646750 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=4/alg=slices.Sort-32         	       4	 298030040 ns/op	         5.334 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortWithTmp-32         	       6	 178104374 ns/op	        10.20 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortWithTmp-32         	       6	 176017920 ns/op	        10.20 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortWithTmp-32         	       6	 175660023 ns/op	        10.20 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortWithTmp-32         	       6	 173850199 ns/op	        10.20 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortWithTmp-32         	       6	 174600405 ns/op	        10.20 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortWithTmp-32         	       6	 174323633 ns/op	        10.20 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortWithTmp-32         	       6	 169707491 ns/op	        10.20 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortWithTmp-32         	       6	 172973006 ns/op	        10.20 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortWithTmp-32         	       6	 175712458 ns/op	        10.20 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortWithTmp-32         	       7	 174228056 ns/op	        10.20 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortInPlace-32         	       3	 410226323 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortInPlace-32         	       3	 438216925 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortInPlace-32         	       3	 410264432 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortInPlace-32         	       3	 428867300 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortInPlace-32         	       3	 411178100 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortInPlace-32         	       3	 424707198 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortInPlace-32         	       3	 424173029 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortInPlace-32         	       3	 411155247 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortInPlace-32         	       3	 437946033 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=sortInPlace-32         	       3	 424078604 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=slices.Sort-32         	       4	 285765613 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=slices.Sort-32         	       4	 274019515 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=slices.Sort-32         	       4	 291332650 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=slices.Sort-32         	       4	 285838012 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=slices.Sort-32         	       4	 274204662 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=slices.Sort-32         	       4	 287284463 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=slices.Sort-32         	       4	 284700940 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=slices.Sort-32         	       4	 285090310 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=slices.Sort-32         	       4	 287214060 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=2/alg=slices.Sort-32         	       4	 285042084 ns/op	        10.20 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortWithTmp-32         	       5	 255259318 ns/op	        19.89 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortWithTmp-32         	       4	 255652725 ns/op	        19.89 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortWithTmp-32         	       5	 251289243 ns/op	        19.89 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortWithTmp-32         	       4	 267231206 ns/op	        19.89 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortWithTmp-32         	       4	 259099554 ns/op	        19.89 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortWithTmp-32         	       4	 251968140 ns/op	        19.89 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortWithTmp-32         	       5	 253102694 ns/op	        19.89 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortWithTmp-32         	       5	 253442008 ns/op	        19.89 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortWithTmp-32         	       5	 252194024 ns/op	        19.89 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortWithTmp-32         	       4	 271200915 ns/op	        19.89 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortInPlace-32         	       2	 733187646 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortInPlace-32         	       2	 695901688 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortInPlace-32         	       2	 788987874 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortInPlace-32         	       2	 696188529 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortInPlace-32         	       2	 736356424 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortInPlace-32         	       2	 722856362 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortInPlace-32         	       2	 705235478 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortInPlace-32         	       2	 733772936 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortInPlace-32         	       2	 722146481 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=sortInPlace-32         	       2	 741481822 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=slices.Sort-32         	       4	 282294208 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=slices.Sort-32         	       4	 288694478 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=slices.Sort-32         	       4	 287338232 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=slices.Sort-32         	       4	 283359394 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=slices.Sort-32         	       4	 284518560 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=slices.Sort-32         	       3	 335213221 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=slices.Sort-32         	       4	 290921148 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=slices.Sort-32         	       4	 290686848 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=slices.Sort-32         	       4	 281917386 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1/alg=slices.Sort-32         	       4	 284577940 ns/op	        19.89 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortWithTmp-32       	       3	 441219999 ns/op	        39.78 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortWithTmp-32       	       3	 409682410 ns/op	        39.78 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortWithTmp-32       	       3	 405165971 ns/op	        39.78 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortWithTmp-32       	       3	 423429943 ns/op	        39.78 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortWithTmp-32       	       3	 424409031 ns/op	        39.78 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortWithTmp-32       	       3	 412516407 ns/op	        39.78 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortWithTmp-32       	       3	 426847202 ns/op	        39.78 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortWithTmp-32       	       3	 413217418 ns/op	        39.78 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortWithTmp-32       	       3	 417387112 ns/op	        39.78 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortWithTmp-32       	       3	 404176887 ns/op	        39.78 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortInPlace-32       	       2	 785981126 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortInPlace-32       	       2	 757848899 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortInPlace-32       	       2	 776039659 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortInPlace-32       	       2	 787854684 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortInPlace-32       	       2	 772167552 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortInPlace-32       	       2	 790512654 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortInPlace-32       	       2	 793922502 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortInPlace-32       	       2	 754442176 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortInPlace-32       	       2	 761516520 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=sortInPlace-32       	       2	 781229409 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=slices.Sort-32       	       4	 307684408 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=slices.Sort-32       	       4	 306310280 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=slices.Sort-32       	       4	 307229216 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=slices.Sort-32       	       4	 307395920 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=slices.Sort-32       	       4	 301173428 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=slices.Sort-32       	       4	 306796521 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=slices.Sort-32       	       4	 301172772 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=slices.Sort-32       	       4	 300975534 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=1_2/alg=slices.Sort-32       	       4	 307176954 ns/op	        39.78 depth/op	       0 B/op	       0 allocs/op
